From;To;Distance (km)
BYDGOSZCZ_3;WROCLAW_4;285,35
BYDGOSZCZ_3;WROCLAW_5;283,3
BYDGOSZCZ_3;ZLOTOW;94,99
BYDGOSZCZ_3;CHRZANOW;431,14
BYDGOSZCZ_3;KATOWICE;411,6
BYDGOSZCZ_3;BIELSKO_BIALA;460,34
BYDGOSZCZ_3;GDANSK_1;171,81
BYDGOSZCZ_3;GDANSK_2;161,85
BYDGOSZCZ_3;GDANSK_3;168,55
BYDGOSZCZ_3;STARGARD_SZCZECINSKI;227,09
BYDGOSZCZ_3;SZCZECIN_1;267,82
BYDGOSZCZ_3;SZCZECIN_2;264,21
BYDGOSZCZ_3;SZCZECIN_3;252,31
BYDGOSZCZ_3;TCZEW;141,67
BYDGOSZCZ_3;GRUDZIADZ_1;71,38
BYDGOSZCZ_3;GRUDZIADZ_2;72,38
BYDGOSZCZ_3;WARSZAWA_STAWKI;279,54
BYDGOSZCZ_3;JOZEFOSLAW;286,01
BYDGOSZCZ_3;GDANSK_4;162,56
BYDGOSZCZ_3;GDANSK_5;171,92
BYDGOSZCZ_3;OLSZTYN;209,67
BYDGOSZCZ_3;ZIELONA_GORA_1;289,58
BYDGOSZCZ_3;ZIELONA_GORA_2;290,25
BYDGOSZCZ_3;SLUBICE;308,38
BYDGOSZCZ_3;DREZDENKO;174,48
BYDGOSZCZ_3;STRZELCE_KRAJENSKIE;189,39
BYDGOSZCZ_3;GORZOW_1;212,1
BYDGOSZCZ_3;GORZOW_2;216,1
BYDGOSZCZ_3;PNIEWY;153,93
BYDGOSZCZ_3;PLOCK_1;156,62
BYDGOSZCZ_3;PLOCK_2;155,99
BYDGOSZCZ_3;PLOCK_3;155,99
BYDGOSZCZ_3;BRWINOW;261,13
BYDGOSZCZ_3;WARSZAWA_TARG;252,29
BYDGOSZCZ_3;WARSZAWA_UR;285,27
BYDGOSZCZ_3;TARNOWO_PODGORNE;142,07
BYDGOSZCZ_3;GNIEZNO;83,2
BYDGOSZCZ_3;GRUDZIADZ_3;71,23
GLOGOW_1;DC;118,35
GLOGOW_1;BIALYSTOK_1;591,41
GLOGOW_1;BIALYSTOK_2;588,29
GLOGOW_1;BYDGOSZCZ_1;257,52
GLOGOW_1;BYDGOSZCZ_2;268,23
GLOGOW_1;BYDGOSZCZ_3;260,16
GLOGOW_1;GLOGOW_2;2,57
GLOGOW_1;INOWROCLAW;237,82
GLOGOW_1;JAROCIN;114,67
GLOGOW_1;KALISZ_1;157,47
GLOGOW_1;KIELCE;417,79
GLOGOW_1;KONIN;190,47
GLOGOW_1;KOSZALIN;341,04
GLOGOW_1;LEGNICA;63,82
GLOGOW_1;LESZNO_1;47,4
GLOGOW_1;LESZNO_2;46,36
GLOGOW_1;LUBIN;38,49
GLOGOW_1;LUBON;117,32
GLOGOW_1;LODZ_1;287,96
GLOGOW_1;LODZ_2;300,26
GLOGOW_1;OBORNIKI_WLKP;162,3
GLOGOW_1;PABIANICE;266,11
GLOGOW_1;PILA_1;232,32
GLOGOW_1;PILA_2;232,91
GLOGOW_1;PIOTRKOW_TRYB;319,94
GLOGOW_1;POZNAN_Z;126,63
GLOGOW_1;POZNAN_B;125,24
GLOGOW_1;POZNAN_D;128,79
GLOGOW_1;POZNAN_GL;121,7
GLOGOW_1;POZNAN_GR;125,99
GLOGOW_1;POZNAN_H;124,8
